Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Case_00_CC : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_CC : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_CC : TMD : GAGARINSAT_CFG5_CASE_00_,Data Source,Case_00_CC : TMD : GAGARINSAT_CFG5_CASE_00_
Element,Electronic_Box,Element,IR_TEL_CCD,Element,Payload_1,Element,Payload_2
,,,,,,,
,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,-12.845136895672926,0.0,-64.69638764723423,0.0,-14.527182908106266,0.0,-14.586125357087457
605.9285888671875,-15.009342801487795,605.9285888671875,-65.43720714129324,605.9285888671875,-15.387568141445229,605.9285888671875,-15.413246951839616
1211.857177734375,-16.583657205420486,1211.857177734375,-65.59760546733136,1211.857177734375,-16.486905364472445,1211.857177734375,-16.46653716606469
1817.7857666015625,-16.149949988975205,1817.7857666015625,-65.23705515858651,1817.7857666015625,-17.132367176611343,1817.7857666015625,-17.06963359854195
2423.71435546875,-14.785529657568587,2423.71435546875,-64.65494274713036,2423.71435546875,-17.1938632626646,2423.71435546875,-17.076050255017147
3029.6429443359375,-13.334111143769254,3029.6429443359375,-64.09720327568068,3029.6429443359375,-16.82422647726941,3029.6429443359375,-16.64947283569922
3635.571533203125,-12.056505349857126,3635.571533203125,-63.58486350722422,3635.571533203125,-16.21282478010935,3635.571533203125,-16.0289584549566
4241.5001220703125,-10.841949367301728,4241.5001220703125,-63.24456633051327,4241.5001220703125,-15.45338810327267,4241.5001220703125,-15.345231889370654
4847.4287109375,-9.90321823827252,4847.4287109375,-63.093832491445774,4847.4287109375,-14.627344582641921,4847.4287109375,-14.621895097880966
5453.3572998046875,-10.805278566993236,5453.3572998046875,-63.88541672345698,5453.3572998046875,-14.203415898542595,5453.3572998046875,-14.257556427486792
6059.28564453125,-12.84624697603273,6059.28564453125,-64.69708326079093,6059.28564453125,-14.52838481403303,6059.28564453125,-14.587328362362799
