Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00,Data Source,Case_00 : TMD : GAGARINSAT_CFG5_CASE_00
Element,BODY_CUTTED,Element,Body_plate_1,Element,Body_plate_2,Element,Electronic_Box,Element,IR_TEL_CCD,Element,IR_TEL_LENS,Element,IR_TEL_OBJ,Element,IR_TEL_STR,Element,IR_TEL_STR_2,Element,MLI_CUTTED,Element,MLI_IR_TEL_CUTTED,Element,Payload_1,Element,Payload_2,Element,RAD_INS,Element,RAD_IR_TEL_2,Element,RAD_IR_TEL_STR,Element,RAD_STR,Element,Solar_Panles_xPlus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,3.6642956372124846,0.0,7.916053832023972,0.0,12.780090901558086,0.0,15.44901026865217,0.0,-59.248602329912906,0.0,-20.658453249076405,0.0,-24.932602435423135,0.0,-24.09065507468795,0.0,-25.15420416387061,0.0,-25.928790725962923,0.0,-42.98405620485474,0.0,8.750765411594495,0.0,9.165903651530744,0.0,6.264040765237278,0.0,-59.4200346842854,0.0,-25.066467420727747,0.0,-2.564205626645658,0.0,-6.799763196456335
605.9285888671875,0.5237761265519119,605.9285888671875,6.590457352594155,605.9285888671875,9.96744597035451,605.9285888671875,13.389977824683697,605.9285888671875,-60.00042221225254,605.9285888671875,-20.794778319539436,605.9285888671875,-28.942473476764185,605.9285888671875,-28.157136592509076,605.9285888671875,-29.04810901802556,605.9285888671875,-29.337608396328363,605.9285888671875,-48.11631550871136,605.9285888671875,7.7915873702613725,605.9285888671875,8.251740295685993,605.9285888671875,5.040144096835608,605.9285888671875,-60.154852271011706,605.9285888671875,-29.065804056255818,605.9285888671875,-4.664447153295099,605.9285888671875,-15.965055358331583
1211.857177734375,0.9037039849335469,1211.857177734375,5.603708921825502,1211.857177734375,8.548367940931309,1211.857177734375,12.002344695822984,1211.857177734375,-60.16870615821379,1211.857177734375,-20.93507666263971,1211.857177734375,-24.97686966889006,1211.857177734375,-23.737294228726,1211.857177734375,-24.614988809268965,1211.857177734375,16.10755325875125,1211.857177734375,24.413131472536715,1211.857177734375,6.631329613009764,1211.857177734375,7.13910955914712,1211.857177734375,4.148655488713881,1211.857177734375,-60.33790126927612,1211.857177734375,-24.95956083278516,1211.857177734375,-6.3325119743478,1211.857177734375,10.294794125979413
1817.7857666015625,3.819965155000667,1817.7857666015625,5.5635322741416715,1817.7857666015625,10.15516021176945,1817.7857666015625,12.631459548026088,1817.7857666015625,-59.80999497270436,1817.7857666015625,-21.008306374816737,1817.7857666015625,-22.806616907352574,1817.7857666015625,-21.48388754445552,1817.7857666015625,-21.278733103731774,1817.7857666015625,34.90524361364015,1817.7857666015625,25.834817625529297,1817.7857666015625,6.010927269219028,1817.7857666015625,6.551983216163574,1817.7857666015625,4.210220955334479,1817.7857666015625,-59.98729369758124,1817.7857666015625,-22.757845799957952,1817.7857666015625,-6.421992591933047,1817.7857666015625,31.98540837016447
2423.71435546875,6.455381823622478,2423.71435546875,5.9533683044853065,2423.71435546875,12.366187032229993,2423.71435546875,14.040557946000927,2423.71435546875,-59.22429773840822,2423.71435546875,-21.025979257497976,2423.71435546875,-19.829156012681914,2423.71435546875,-18.405769792548064,2423.71435546875,-17.193487275275064,2423.71435546875,45.83427877292192,2423.71435546875,12.010607321350525,2423.71435546875,6.023155338477374,2423.71435546875,6.606756954485271,2423.71435546875,4.921877579627182,2423.71435546875,-59.41430073715032,2423.71435546875,-19.781869926662253,2423.71435546875,-4.972196060439442,2423.71435546875,43.981188687931486
