Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00_Surv : TMD : GAGARINSAT_CFGCRYO_CASE_
Element,BODY_CUTTED,Element,Body_plate_1,Element,Body_plate_2,Element,CCD_CryoCool_Diss,Element,CCD_CryoCool_Sink,Element,Electronic_Box,Element,IR_TEL_CCD,Element,IR_TEL_LENS,Element,IR_TEL_OBJ,Element,IR_TEL_STR,Element,IR_TEL_STR_2,Element,MLI_CUTTED,Element,MLI_IR_TEL_CUTTED,Element,Payload_1,Element,Payload_2,Element,RAD_INS,Element,RAD_IR_TEL,Element,RAD_IR_TEL_2,Element,RAD_IR_TEL_STR,Element,Solar_Panles_xPlus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,-3.611977500976835,0.0,-9.685655955561991,0.0,-0.04701805985035424,0.0,-31.963122806739786,0.0,-21.028162271411087,0.0,-1.1306712127933614,0.0,-21.061305852346603,0.0,-20.835283472026717,0.0,-26.239327276852084,0.0,-25.602626045808947,0.0,-26.468660097059377,0.0,-30.155609424351677,0.0,-44.07613471157908,0.0,-9.019772644961948,0.0,-8.614723154343062,0.0,-9.883923141803116,0.0,-37.172183167763514,0.0,-36.597415956902495,0.0,-26.413025707815812,0.0,-8.280074402525925
605.9285888671875,-7.445900371252078,605.9285888671875,-11.072498022198697,605.9285888671875,-3.34868546529222,605.9285888671875,-32.542335083965106,605.9285888671875,-21.321185165918642,605.9285888671875,-3.474459770788428,605.9285888671875,-21.378819362398875,605.9285888671875,-20.965509225201377,605.9285888671875,-30.25642127675674,605.9285888671875,-29.682928456154134,605.9285888671875,-30.371367173406316,605.9285888671875,-34.136878982594446,605.9285888671875,-49.244967437700645,605.9285888671875,-9.996252423378188,605.9285888671875,-9.550238434581736,605.9285888671875,-11.166149799979095,605.9285888671875,-37.62259933281218,605.9285888671875,-37.0570740145926,605.9285888671875,-30.420932282978857,605.9285888671875,-17.90904897000867
1211.857177734375,-7.388649717449394,1211.857177734375,-12.152173137705855,1211.857177734375,-5.236143824968096,1211.857177734375,-33.01876158389186,1211.857177734375,-21.624884095819553,1211.857177734375,-5.20225093270052,1211.857177734375,-21.65489105202912,1211.857177734375,-21.100668426463486,1211.857177734375,-26.40094207306653,1211.857177734375,-25.38918118931703,1211.857177734375,-26.044681355062302,1211.857177734375,10.473907986439432,1211.857177734375,21.19194806599928,1211.857177734375,-11.220420841775768,1211.857177734375,-10.728472678383854,1211.857177734375,-12.161348505697504,1211.857177734375,-37.67423872767397,1211.857177734375,-37.231693129886466,1211.857177734375,-26.428058890393174,1211.857177734375,8.266499492538552
1817.7857666015625,-4.277430082381325,1817.7857666015625,-12.283074983804564,1817.7857666015625,-3.8469484669032687,1817.7857666015625,-33.076790769615464,1817.7857666015625,-21.771447572278426,1817.7857666015625,-4.822549526667449,1817.7857666015625,-21.786217686209586,1817.7857666015625,-21.17277749057238,1817.7857666015625,-24.37990906973183,1817.7857666015625,-23.276790177120358,1817.7857666015625,-22.851302114833455,1817.7857666015625,31.519323271289544,1817.7857666015625,23.60609525846588,1817.7857666015625,-11.937632795541198,1817.7857666015625,-11.407832847537524,1817.7857666015625,-12.205559954895612,1817.7857666015625,-37.54172832170383,1817.7857666015625,-37.12635249501926,1817.7857666015625,-24.37377451727427,1817.7857666015625,30.519359916696438
