Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_
Element,CCD_CryoCool_Diss,Element,CCD_CryoCool_Sink,Element,Electronic_Box,Element,IR_TEL_CCD,Element,Payload_1,Element,Payload_2
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0,-4.429189348,0,-203.15,0,20.74575972,0,-202.622535,0,12.09715547,0,12.43136766
605.9285889,-5.03437809,605.9285889,-203.15,605.9285889,18.46446933,605.9285889,-202.6510764,605.9285889,11.02898217,605.9285889,11.4113866
1211.857178,-5.527015519,1211.857178,-203.15,1211.857178,16.88056914,1211.857178,-202.6249953,1211.857178,9.750718507,1211.857178,10.17704684
1817.785767,-5.581283645,1817.785767,-203.15,1817.785767,17.44269807,1817.785767,-202.6103407,1817.785767,9.059101291,1817.785767,9.513045854
2423.714355,-5.351280969,2423.714355,-203.15,2423.714355,19.00709787,2423.714355,-202.588309,2423.714355,9.058843921,2423.714355,9.552188029
3029.642944,-4.986171364,3029.642944,-203.15,3029.642944,20.76857819,3029.642944,-202.5709501,3029.642944,9.563823903,3029.642944,10.10006584
3635.571533,-4.55624176,3635.571533,-203.15,3635.571533,22.3023733,3635.571533,-202.5607344,3635.571533,10.34585803,3635.571533,10.88057572
4241.500122,-4.130022704,4241.500122,-203.15,4241.500122,23.54012135,4241.500122,-202.5624218,4241.500122,11.26207136,4241.500122,11.71654954
4847.428711,-3.776440895,4847.428711,-203.15,4847.428711,24.25795926,4847.428711,-202.5364013,4847.428711,12.18215879,4847.428711,12.54340012
5453.3573,-3.942436305,5453.3573,-203.15,5453.3573,23.001296,5453.3573,-202.5844647,5453.3573,12.58288538,5453.3573,12.90050805
6059.285645,-4.429304796,6059.285645,-203.15,6059.285645,20.74559963,6059.285645,-202.6225476,6059.285645,12.096975,6059.285645,12.43119296
