Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_,Data Source,Case_00 : TMD : GAGARINSAT_CFGCRYO_CASE_
Element,21000,Element,21001,Element,21002,Element,21003,Element,21004,Element,21005,Element,21006,Element,21007,Element,21008,Element,21009,Element,21010,Element,21011,Element,21012,Element,21013,Element,21014,Element,21015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources,Time[s],Heat Sources
0.0,1.89672257818299,0.0,2.1322576408658107,0.0,2.2454883788401747,0.0,2.283192360017284,0.0,2.3159517628449597,0.0,2.339188747785605,0.0,2.348613957860628,0.0,2.3547764408640215,0.0,1.8442321784334572,0.0,2.114754149199611,0.0,2.2455587250252655,0.0,2.3166654470170354,0.0,2.3367394492424394,0.0,2.321510855881254,0.0,2.3296906901809455,0.0,2.3386446403790546
605.9285888671875,1.3182861991071566,605.9285888671875,1.4427257977672694,605.9285888671875,1.4887354274568105,605.9285888671875,1.5386242688670917,605.9285888671875,1.5679002085005915,605.9285888671875,1.5798936293797994,605.9285888671875,1.5796402989279508,605.9285888671875,1.599288614969506,605.9285888671875,1.211792701566258,605.9285888671875,1.4145685191565445,605.9285888671875,1.5115986972529691,605.9285888671875,1.5528979546060966,605.9285888671875,1.5759403812171684,605.9285888671875,1.5895496880193267,605.9285888671875,1.5851656588605967,605.9285888671875,1.5580508762341252
1211.857177734375,18.35735206554517,1211.857177734375,18.417488218172977,1211.857177734375,18.42949043160832,1211.857177734375,18.45657002770243,1211.857177734375,18.467454798386417,1211.857177734375,18.458686538605296,1211.857177734375,18.464850278859473,1211.857177734375,18.489071423368532,1211.857177734375,18.347110637676582,1211.857177734375,18.420638892058836,1211.857177734375,18.440173835097312,1211.857177734375,18.472289637553367,1211.857177734375,18.477546214281347,1211.857177734375,18.4656150403343,1211.857177734375,18.485701249214507,1211.857177734375,18.441477859921935
1817.7857666015625,17.861450750894775,1817.7857666015625,17.89912867523856,1817.7857666015625,17.87699554245593,1817.7857666015625,17.89274820752369,1817.7857666015625,17.909055376854642,1817.7857666015625,17.887285497745264,1817.7857666015625,17.905035026961333,1817.7857666015625,17.927969771717063,1817.7857666015625,17.91154466041024,1817.7857666015625,17.887169610166055,1817.7857666015625,17.87376602751333,1817.7857666015625,17.895979266128947,1817.7857666015625,17.90185347330406,1817.7857666015625,17.91436514912266,1817.7857666015625,17.928916789764294,1817.7857666015625,17.887486062176947
2423.71435546875,17.62535728286377,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625668216785403,2423.71435546875,17.625482137797107,2423.71435546875,17.625294855311225,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133,2423.71435546875,17.625232427818133
3029.6429443359375,17.625794260844003,3029.6429443359375,17.62523241239906,3029.6429443359375,17.625232411407723,3029.6429443359375,17.62523241485818,3029.6429443359375,17.625232409014917,3029.6429443359375,17.6252324129303,3029.6429443359375,17.625232412945685,3029.6429443359375,17.625232411938413,3029.6429443359375,17.625294840214085,3029.6429443359375,17.62529484059756,3029.6429443359375,17.625232411199296,3029.6429443359375,17.625232411251968,3029.6429443359375,17.62523241127606,3029.6429443359375,17.625232412652345,3029.6429443359375,17.625232411415794,3029.6429443359375,17.62523241050631
